state,latitude,longitude,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,ambience,parking,dietaryRestrictions,waiterService,smoking,caters,recommendedFor,goodForGroups,goodForKids,outdoorSeating
AZ,1,1,2.5,False,none,very_loud,casual,1.0,True,[],['lot'],,True,yes,True,['latenight'],True,False,True
IL,2,2,2.0,False,full_bar,loud,casual,1.0,True,['casual'],[],,True,outdoor,,['latenight'],True,,True
EDH,5,5,4.5,True,full_bar,quiet,casual,3.0,False,[],[],['vegan'],True,,,['dessert'],True,,False
EDH,5,5,3.5,True,full_bar,quiet,casual,2.0,True,[],[],[],True,,,[],True,,False
NV,1,1,3.0,True,full_bar,loud,casual,2.0,False,[],['garage'],,True,,False,"['lunch', 'breakfast']",True,False,False
NC,1,2,4.0,True,full_bar,,casual,2.0,False,[],[],,True,no,,[],True,,False
PA,2,2,3.5,True,full_bar,average,casual,1.0,,[],[],,False,yes,,[],True,,False
IL,2,2,3.5,True,none,average,casual,1.0,False,[],['lot'],,True,,False,['lunch'],True,True,False
NC,1,2,4.5,True,beer_and_wine,average,casual,1.0,False,['divey'],['lot'],,True,,True,"['lunch', 'dinner']",True,,False
WI,3,2,3.5,False,full_bar,average,casual,2.0,False,['trendy'],"['garage', 'street']",,True,,True,"['lunch', 'dinner']",True,,True
QC,3,2,3.5,True,beer_and_wine,average,casual,2.0,False,[],[],,False,,False,[],True,,False
NC,1,2,2.5,True,none,average,casual,1.0,False,[],[],,True,,False,[],True,,False
AZ,1,1,4.0,False,full_bar,quiet,casual,1.0,False,[],['lot'],,False,,False,"['lunch', 'breakfast']",True,True,True
NV,1,1,1.0,True,none,quiet,casual,2.0,True,[],['street'],,False,,True,[],True,,False
QC,3,2,3.5,False,none,average,casual,1.0,False,['casual'],['street'],,False,,False,"['lunch', 'dinner']",True,,False
IL,2,2,3.5,True,none,quiet,casual,1.0,False,[],[],,False,,True,"['lunch', 'dinner']",False,,False
IL,2,2,3.5,False,none,loud,casual,1.0,True,[],['street'],,True,,True,"['lunch', 'dinner']",True,,False
IL,2,2,3.5,True,none,quiet,casual,1.0,True,[],['lot'],,False,,True,[],True,,False
IL,2,2,3.5,True,none,average,casual,1.0,False,"['divey', 'casual']",['lot'],,True,,False,"['lunch', 'dinner']",True,,False
AZ,1,1,4.0,True,none,average,casual,1.0,False,['casual'],['lot'],,False,,True,"['lunch', 'dinner']",True,,False
AZ,1,1,2.0,True,none,quiet,casual,2.0,True,[],['lot'],,False,,,[],False,,True
ON,3,2,3.5,True,beer_and_wine,average,casual,2.0,False,[],[],,True,,False,[],True,,True
PA,2,2,3.5,True,none,average,casual,1.0,True,['divey'],[],,False,,False,[],True,,False
PA,2,2,4.5,True,none,,casual,1.0,True,[],['lot'],,False,,True,[],True,,True
IL,2,2,3.5,True,none,average,casual,1.0,False,[],[],,,,,[],True,,False
AZ,1,1,3.5,True,none,average,casual,2.0,True,[],[],,False,,True,[],True,,False
PA,2,2,2.5,True,none,loud,casual,1.0,True,[],['street'],,True,,,"['lunch', 'dinner']",False,,False
NC,1,2,4.0,False,full_bar,quiet,casual,1.0,False,,[],,True,,False,[],True,,True
QC,3,2,3.0,True,full_bar,average,casual,2.0,True,[],[],,False,yes,,[],True,,False
AZ,1,1,4.5,False,beer_and_wine,average,casual,1.0,False,[],['lot'],,False,,False,['lunch'],True,,True
ON,3,2,4.0,True,none,,casual,1.0,True,[],[],,False,,True,[],False,,False
PA,2,2,3.5,True,none,quiet,casual,1.0,False,[],[],,False,,,[],True,,False
QC,3,2,3.5,True,full_bar,average,dressy,3.0,False,[],[],,False,,False,[],True,,False
NC,1,2,3.5,False,beer_and_wine,average,casual,2.0,True,[],[],,,,,[],True,,True
BW,4,5,2.5,True,full_bar,,casual,2.0,,[],"['street', 'lot']",,False,yes,,,True,True,False
AZ,1,1,4.0,True,none,average,casual,1.0,False,[],[],,False,,,[],True,,False
NC,1,2,5.0,True,none,average,casual,1.0,True,[],[],,False,,False,[],True,,False
ON,3,2,3.5,True,none,quiet,casual,2.0,True,[],['street'],,True,,,['lunch'],True,,False
NV,1,1,4.0,False,none,quiet,casual,2.0,True,[],[],,False,,False,['dinner'],True,,False
AZ,1,1,3.0,True,none,loud,casual,1.0,True,[],[],,True,,False,[],True,,False
WI,3,2,4.0,True,full_bar,average,casual,2.0,False,['casual'],['lot'],,True,,False,[],True,,False
QC,3,2,4.5,True,full_bar,quiet,casual,2.0,True,['casual'],[],,False,,True,[],True,,False
NC,1,2,4.0,True,none,average,casual,1.0,False,[],[],,True,,,[],True,,False
QC,3,2,3.0,True,full_bar,quiet,casual,2.0,True,[],['street'],,True,,True,[],,,False
AZ,1,1,3.5,True,beer_and_wine,quiet,casual,2.0,True,[],[],,False,,True,[],True,,False
AZ,1,1,3.5,True,none,average,casual,2.0,False,['casual'],[],,True,,True,[],True,,True
AZ,1,1,4.0,False,full_bar,quiet,casual,2.0,False,[],[],,True,,False,"['lunch', 'dinner']",True,,True
WI,3,2,3.0,True,beer_and_wine,quiet,casual,2.0,False,[],['street'],,False,,,"['dinner', 'brunch']",False,,False
AZ,1,1,4.5,True,none,,casual,1.0,False,[],[],,True,,True,['breakfast'],True,,True
AZ,1,1,3.0,True,full_bar,quiet,casual,1.0,True,[],[],,True,,True,[],True,,True
AZ,1,1,4.0,True,full_bar,quiet,casual,2.0,True,[],[],,True,,,['lunch'],True,,True
QC,3,2,4.5,True,full_bar,average,dressy,4.0,False,[],['street'],,True,,False,[],True,,True
QC,3,2,2.5,True,full_bar,,casual,2.0,True,[],"['street', 'validate']",,False,,,"['lunch', 'dinner']",True,,True
PA,2,2,4.0,False,none,quiet,casual,2.0,False,[],['street'],,True,,,[],True,,False
WI,3,2,3.0,True,full_bar,average,casual,2.0,False,[],['lot'],,False,,,[],True,,False
AZ,1,1,1.5,False,none,average,casual,1.0,False,[],['lot'],,True,,True,[],True,,False
BW,4,5,3.0,True,full_bar,,casual,2.0,False,[],[],,True,no,,[],True,,True
AZ,1,1,2.5,False,full_bar,loud,casual,2.0,False,[],[],,True,,False,[],True,,False
QC,3,2,3.5,True,full_bar,average,dressy,3.0,,['casual'],['lot'],,False,,,[],True,,False
NC,1,2,2.5,True,none,average,casual,1.0,False,[],[],,,,,[],False,,False
NV,1,1,2.5,False,beer_and_wine,average,casual,2.0,False,[],[],,False,,True,[],True,,False
NC,1,2,3.0,True,none,quiet,casual,1.0,False,[],[],,False,,,[],True,,False
QC,3,2,2.0,True,beer_and_wine,quiet,casual,2.0,False,['casual'],[],,True,,,['lunch'],True,,False
PA,2,2,5.0,True,none,quiet,casual,2.0,True,[],[],,,,,[],True,,False
AZ,1,1,2.5,True,none,average,casual,1.0,False,[],[],,True,,True,[],True,,False
QC,3,2,4.0,True,full_bar,average,dressy,4.0,False,[],[],,False,,,[],True,,True
